LeadId,Converted,predicted,Score
5324,1,1,39
3806,0,0,16
8955,0,0,6
4680,1,1,100
605,0,0,5
3961,1,0,16
6071,0,0,15
5156,0,0,3
6074,1,0,16
1468,1,1,92
7608,0,0,19
1982,1,1,98
5428,0,0,16
890,0,1,61
6173,0,0,9
6340,0,0,8
843,1,1,38
2155,1,1,72
4304,0,0,16
9029,1,0,8
2077,1,1,60
5863,0,0,11
5253,1,1,88
5746,1,0,19
3520,1,1,68
4927,1,1,91
2799,1,1,38
6128,0,0,10
584,0,0,29
3268,1,1,88
3932,1,1,88
4862,1,1,68
1260,0,0,16
7268,1,1,97
4329,1,1,54
4749,0,0,8
9183,0,0,22
6590,0,0,10
4169,0,0,5
7416,0,0,8
5245,0,0,4
4753,1,1,92
4418,0,1,84
9060,0,1,78
2550,0,0,28
3783,0,0,14
7283,0,0,16
3251,0,0,15
344,0,0,16
2185,0,0,16
6742,0,1,81
7394,0,0,13
5953,1,1,47
8143,0,0,33
8936,0,1,41
871,0,0,11
7735,0,0,10
7988,0,1,41
5111,0,0,12
6601,1,1,97
90,0,0,6
5050,1,1,85
5430,1,1,79
6389,0,0,17
8913,0,1,54
4296,1,1,69
7260,0,0,12
6690,0,0,10
2117,0,0,5
8561,0,0,13
2937,0,0,7
7128,1,1,55
7836,1,0,23
2836,1,1,38
3096,0,0,16
5885,0,0,8
7955,0,0,8
947,1,1,50
2925,1,1,97
6566,0,0,7
3214,0,0,4
4617,0,0,8
7183,0,0,16
883,0,0,5
4645,1,1,89
5952,1,1,82
5210,1,1,81
5960,1,1,88
7442,0,1,40
627,0,0,8
1456,1,1,93
8832,0,1,38
7621,0,0,16
6900,1,0,6
8526,0,0,3
4332,0,0,5
6135,0,0,8
8505,1,1,89
8863,0,1,89
7399,0,0,12
7248,0,0,11
2415,1,1,74
6491,0,0,26
7823,1,0,36
4684,0,0,13
4254,0,1,44
8638,1,0,5
4908,0,0,8
2899,0,1,41
433,0,0,13
2398,0,0,13
4054,0,0,5
2209,0,1,51
1710,1,1,92
3353,1,1,54
8698,0,1,54
4594,0,0,10
104,1,0,28
7539,1,1,87
1186,1,1,91
8272,0,0,3
3184,0,0,10
9046,1,1,91
7045,1,1,100
7430,0,0,6
9135,0,0,16
6790,0,0,19
915,0,1,81
1305,1,1,59
7243,1,1,56
3049,1,1,42
8797,0,0,16
7414,0,0,16
6816,1,1,82
2796,0,0,17
1398,1,1,77
3358,0,0,9
183,0,0,5
6720,0,0,8
9129,0,0,29
8015,0,0,2
5910,0,0,4
6803,0,0,8
2656,1,1,100
7146,0,0,6
1961,1,1,94
5404,0,1,44
5856,1,1,98
9214,1,1,71
1251,0,0,3
3176,1,1,89
6564,0,0,13
4229,0,0,22
6203,0,0,19
5527,0,0,8
3289,1,1,55
7435,1,1,47
6437,0,0,16
4771,1,1,99
5825,1,1,99
1051,1,1,94
7868,0,0,6
5090,0,1,83
5662,1,1,81
272,0,0,15
2042,1,1,93
8144,1,0,7
4392,0,0,16
1086,0,0,17
7094,1,1,99
6785,1,1,74
4623,1,0,33
5646,1,1,68
5875,0,0,8
6553,1,0,16
5114,0,1,40
4326,0,0,7
5225,1,0,26
9235,1,1,89
3478,1,1,100
6020,1,0,17
3924,0,0,8
1748,1,1,78
732,0,1,57
7894,0,0,14
5836,1,1,86
4170,1,1,71
2662,1,1,99
4925,1,0,37
3113,1,1,87
3303,0,0,16
1344,1,0,16
7752,1,1,47
4239,1,1,78
5492,1,1,81
3308,0,0,8
1504,0,0,6
1806,0,0,9
5273,0,0,8
4537,1,1,80
3791,0,0,14
8796,0,1,53
6194,0,0,8
4993,1,1,47
4750,1,1,88
6144,0,0,33
1848,1,1,75
2431,0,0,21
5756,0,0,25
4718,0,0,11
142,1,1,93
8011,0,0,13
8596,0,1,46
9132,0,0,28
3409,0,0,16
1117,0,0,5
1756,0,1,47
497,0,1,42
4374,1,1,93
870,0,0,9
3357,0,0,10
912,0,0,16
721,0,0,6
2805,0,0,4
9186,1,1,95
7517,1,1,47
8861,0,1,59
5570,0,0,16
6068,0,0,10
1520,0,0,23
2746,1,1,71
4789,1,1,84
9148,0,1,41
314,0,0,9
7246,0,0,25
327,1,1,86
4767,0,0,8
4204,1,1,46
3129,0,1,59
8925,0,1,70
8168,0,1,41
3968,0,0,7
4659,0,0,18
1973,1,1,83
336,0,0,10
2764,1,1,91
7381,0,0,15
7278,0,1,40
2985,1,1,68
7741,0,0,9
3477,1,1,88
3558,0,0,16
2809,1,1,92
6110,0,0,11
7081,1,1,85
307,1,0,4
3908,0,0,4
348,1,1,96
8036,0,0,8
8778,1,0,16
8902,1,1,96
3682,0,0,2
5894,0,0,16
7281,0,0,6
2053,0,0,32
71,0,0,16
4848,0,0,34
5933,1,1,78
5308,0,0,10
6888,0,1,60
1666,1,1,47
6504,0,0,21
5467,0,1,56
4535,1,1,69
1445,0,0,26
5873,0,0,8
4745,0,0,2
1695,0,0,16
2892,0,0,16
7765,0,0,14
3203,0,0,26
1630,1,1,65
6311,0,0,5
1881,1,0,35
7353,0,0,8
7451,0,0,8
848,1,1,82
6360,1,1,39
5814,0,0,35
4955,1,1,97
2877,1,1,39
8149,0,0,4
3779,0,0,7
1830,0,0,34
6919,0,1,41
8530,0,0,4
8480,0,1,55
1234,1,1,94
5386,1,0,21
3915,0,0,16
446,1,1,92
844,0,0,5
4872,1,0,37
4564,1,0,33
2440,1,1,76
3103,1,1,75
8507,0,0,6
5739,0,1,67
1294,1,1,47
5723,1,1,83
3442,0,0,16
7395,0,0,16
6152,1,1,84
5165,0,0,8
776,1,0,33
8975,0,1,88
2153,1,1,83
4528,1,1,75
8769,0,1,72
4672,1,1,55
5944,1,1,56
7360,0,0,8
3183,1,1,47
5740,0,0,8
3199,0,0,9
8165,0,0,8
1289,1,1,55
6407,0,0,16
8247,0,0,24
6048,0,0,5
7978,1,1,96
4106,0,0,26
4126,1,1,73
6961,0,0,8
3966,1,0,25
1879,0,0,33
7492,1,1,83
8587,1,1,79
6348,0,0,19
8823,1,1,87
7149,0,0,8
7148,0,0,16
6660,1,0,21
6976,0,0,8
1036,0,0,7
636,0,0,4
4657,0,1,60
4134,1,0,36
7967,1,1,48
1083,0,1,50
861,0,0,5
903,0,0,3
191,0,0,4
109,0,0,13
1942,0,1,74
4463,0,0,8
7580,0,0,11
8788,0,1,97
6196,0,0,8
5793,1,1,99
2775,0,0,16
7032,0,0,29
2323,0,0,3
7698,0,0,5
2617,1,1,74
8008,1,0,35
1094,0,0,8
8023,1,1,78
4721,0,0,8
3135,0,0,14
